"ID","HowToGet"
"AER-Affairs","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/Affairs.csv""]"
"AER-ArgentinaCPI","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/ArgentinaCPI.csv""]"
"AER-BankWages","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/BankWages.csv""]"
"AER-BenderlyZwick","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/BenderlyZwick.csv""]"
"AER-BondYield","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/BondYield.csv""]"
"AER-CartelStability","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/CartelStability.csv""]"
"AER-CASchools","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/CASchools.csv""]"
"AER-ChinaIncome","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/ChinaIncome.csv""]"
"AER-CigarettesB","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/CigarettesB.csv""]"
"AER-CigarettesSW","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/CigarettesSW.csv""]"
"AER-CollegeDistance","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/CollegeDistance.csv""]"
"AER-ConsumerGood","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/ConsumerGood.csv""]"
"AER-CPS1985","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/CPS1985.csv""]"
"AER-CPS1988","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/CPS1988.csv""]"
"AER-CPSSW04","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/CPSSW04.csv""]"
"AER-CPSSW3","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/CPSSW3.csv""]"
"AER-CPSSW8","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/CPSSW8.csv""]"
"AER-CPSSW9204","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/CPSSW9204.csv""]"
"AER-CPSSW9298","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/CPSSW9298.csv""]"
"AER-CPSSWEducation","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/CPSSWEducation.csv""]"
"AER-CreditCard","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/CreditCard.csv""]"
"AER-DJFranses","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/DJFranses.csv""]"
"AER-DJIA8012","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/DJIA8012.csv""]"
"AER-DoctorVisits","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/DoctorVisits.csv""]"
"AER-DutchAdvert","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/DutchAdvert.csv""]"
"AER-DutchSales","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/DutchSales.csv""]"
"AER-Electricity1955","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/Electricity1955.csv""]"
"AER-Electricity1970","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/Electricity1970.csv""]"
"AER-EquationCitations","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/EquationCitations.csv""]"
"AER-Equipment","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/Equipment.csv""]"
"AER-EuroEnergy","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/EuroEnergy.csv""]"
"AER-Fatalities","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/Fatalities.csv""]"
"AER-Fertility","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/Fertility.csv""]"
"AER-Fertility2","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/Fertility2.csv""]"
"AER-FrozenJuice","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/FrozenJuice.csv""]"
"AER-GermanUnemployment","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/GermanUnemployment.csv""]"
"AER-GoldSilver","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/GoldSilver.csv""]"
"AER-GrowthDJ","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/GrowthDJ.csv""]"
"AER-GrowthSW","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/GrowthSW.csv""]"
"AER-Grunfeld","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/Grunfeld.csv""]"
"AER-GSOEP9402","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/GSOEP9402.csv""]"
"AER-GSS7402","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/GSS7402.csv""]"
"AER-Guns","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/Guns.csv""]"
"AER-HealthInsurance","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/HealthInsurance.csv""]"
"AER-HMDA","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/HMDA.csv""]"
"AER-HousePrices","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/HousePrices.csv""]"
"AER-Journals","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/Journals.csv""]"
"AER-KleinI","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/KleinI.csv""]"
"AER-Longley","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/Longley.csv""]"
"AER-ManufactCosts","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/ManufactCosts.csv""]"
"AER-MarkDollar","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/MarkDollar.csv""]"
"AER-MarkPound","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/MarkPound.csv""]"
"AER-MASchools","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/MASchools.csv""]"
"AER-Medicaid1986","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/Medicaid1986.csv""]"
"AER-Mortgage","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/Mortgage.csv""]"
"AER-MotorCycles","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/MotorCycles.csv""]"
"AER-MotorCycles2","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/MotorCycles2.csv""]"
"AER-MSCISwitzerland","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/MSCISwitzerland.csv""]"
"AER-Municipalities","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/Municipalities.csv""]"
"AER-MurderRates","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/MurderRates.csv""]"
"AER-NaturalGas","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/NaturalGas.csv""]"
"AER-NMES1988","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/NMES1988.csv""]"
"AER-NYSESW","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/NYSESW.csv""]"
"AER-OECDGas","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/OECDGas.csv""]"
"AER-OECDGrowth","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/OECDGrowth.csv""]"
"AER-OlympicTV","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/OlympicTV.csv""]"
"AER-OrangeCounty","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/OrangeCounty.csv""]"
"AER-Parade2005","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/AER/Parade2005.csv""]"
