"ID","Package","Item","Title","RowsCount","ColumnsCount","BinaryColumnsCount","CharacterColumnsCount","FactorColumnsCount","LogicalColumnsCount","NumericColumnsCount","CSVURL","DocURL","Description"
"AER-Affairs","AER","Affairs","Fair's Extramarital Affairs Data",601,9,2,0,2,0,7,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/Affairs.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/Affairs.html","Affairs R Documentation   Fair's Extramarital Affairs Data   Description  
Infidelity data, known as Fair's Affairs. Cross-section data from a survey conducted by Psychology Today in 1969.    Usage   data(""Affairs"")   Format  
A data frame containing 601 observations on 9 variables.    affairs
numeric. How often engaged in extramarital sexual intercourse during the past year? 0 = none, 1 = once, 2 = twice,  3 = 3 times, 7 = 4–10 times, 12 = monthly,  12 = weekly, 12 = daily.   gender
factor indicating gender.   age
numeric variable coding age in years: 17.5 = under 20, 22 = 20–24,  27 = 25–29, 32 = 30–34, 37 = 35–39, 42 = 40–44,  47 = 45–49, 52 = 50–54, 57 = 55 or over.   yearsmarried
numeric variable coding number of years married: 0.125 = 3 months or less,  0.417 = 4–6 months, 0.75 = 6 months–1 year, 1.5 = 1–2 years,  4 = 3–5 years, 7 = 6–8 years, 10 = 9–11 years, 15 = 12 or more years.   children
factor. Are there children in the marriage?   religiousness
numeric variable coding religiousness: 1 = anti, 2 = not at all,  3 = slightly, 4 = somewhat, 5 = very.   education
numeric variable coding level of education: 9 = grade school,  12 = high school graduate, 14 = some college, 16 = college graduate,  17 = some graduate work, 18 = master's degree, 20 = Ph.D., M.D., or other advanced degree.   occupation
numeric variable coding occupation according to Hollingshead classification (reverse numbering).   rating
numeric variable coding self rating of marriage: 1 = very unhappy,  2 = somewhat unhappy, 3 = average, 4 = happier than average, 5 = very happy.     Source  
Online complements to Greene (2003). Table F22.2.   
http://pages.stern.nyu.edu/~wgreene/Text/tables/tablelist5.htm     References  
Greene, W.H. (2003). Econometric Analysis , 5th edition. Upper Saddle River, NJ: Prentice Hall.   
Fair, R.C. (1978). A Theory of Extramarital Affairs. Journal of Political Economy ,  86 , 45–61.    See Also  
Greene2003   Examples    data(""Affairs"") ## Greene (2003) ## Tab. 22.3 and 22.4 fm_ols <- lm(affairs ~ age + yearsmarried + religiousness + occupation + rating, data = Affairs) fm_probit <- glm(I(affairs > 0) ~ age + yearsmarried + religiousness + occupation + rating, data = Affairs, family = binomial(link = ""probit"")) fm_tobit <- tobit(affairs ~ age + yearsmarried + religiousness + occupation + rating, data = Affairs) fm_tobit2 <- tobit(affairs ~ age + yearsmarried + religiousness + occupation + rating, right = 4, data = Affairs) fm_pois <- glm(affairs ~ age + yearsmarried + religiousness + occupation + rating, data = Affairs, family = poisson) library(""MASS"") fm_nb <- glm.nb(affairs ~ age + yearsmarried + religiousness + occupation + rating, data = Affairs) ## Tab. 22.6 library(""pscl"") fm_zip <- zeroinfl(affairs ~ age + yearsmarried + religiousness + occupation + rating | age + yearsmarried + religiousness + occupation + rating, data = Affairs)"
"AER-ArgentinaCPI","AER","ArgentinaCPI","Consumer Price Index in Argentina",80,2,0,0,0,0,2,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/ArgentinaCPI.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/ArgentinaCPI.html","ArgentinaCPI R Documentation   Consumer Price Index in Argentina   Description  
Time series of consumer price index (CPI) in Argentina (index with 1969(4) = 1).    Usage   data(""ArgentinaCPI"")   Format  
A quarterly univariate time series from 1970(1) to 1989(4).    Source  
Online complements to Franses (1998).    References  
De Ruyter van Steveninck, M.A. (1996). The Impact of Capital Imports; Argentina 1970–1989 . Amsterdam: Thesis Publishers.   
Franses, P.H. (1998). Time Series Models for Business and Economic Forecasting . Cambridge, UK: Cambridge University Press.    See Also  
Franses1998   Examples    data(""ArgentinaCPI"") plot(ArgentinaCPI) plot(log(ArgentinaCPI)) library(""dynlm"") ## estimation sample 1970.3-1988.4 means acpi <- window(ArgentinaCPI, start = c(1970,1), end = c(1988,4)) ## eq. (3.90), p.54 acpi_ols <- dynlm(d(log(acpi)) ~ L(d(log(acpi)))) summary(acpi_ols) ## alternatively ar(diff(log(acpi)), order.max = 1, method = ""ols"")"
"AER-BankWages","AER","BankWages","Bank Wages",474,4,2,0,3,0,1,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/BankWages.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/BankWages.html","BankWages R Documentation   Bank Wages   Description  
Wages of employees of a US bank.    Usage   data(""BankWages"")   Format  
A data frame containing 474 observations on 4 variables.    job
Ordered factor indicating job category, with levels ""custodial"" ,  ""admin"" and ""manage"" .   education
Education in years.   gender
Factor indicating gender.   minority
Factor. Is the employee member of a minority?     Source  
Online complements to Heij, de Boer, Franses, Kloek, and van Dijk (2004).  
http://www.oup.com/uk/booksites/content/0199268010/datasets/ch6/xr614bwa.asc     References  
Heij, C., de Boer, P.M.C., Franses, P.H., Kloek, T. and van Dijk, H.K. (2004). Econometric Methods with Applications in Business and Economics . Oxford: Oxford University Press.    Examples    data(""BankWages"") ## exploratory analysis of job ~ education ## (tables and spine plots, some education levels merged) xtabs(~ education + job, data = BankWages) edcat <- factor(BankWages$education) levels(edcat)[3:10] <- rep(c(""14-15"", ""16-18"", ""19-21""), c(2, 3, 3)) tab <- xtabs(~ edcat + job, data = BankWages) prop.table(tab, 1) spineplot(tab, off = 0) plot(job ~ edcat, data = BankWages, off = 0) ## fit multinomial model for male employees library(""nnet"") fm_mnl <- multinom(job ~ education + minority, data = BankWages, subset = gender == ""male"", trace = FALSE) summary(fm_mnl) confint(fm_mnl) ## same with mlogit package if(require(""mlogit"")) { fm_mlogit <- mlogit(job ~ 1 | education + minority, data = BankWages, subset = gender == ""male"", shape = ""wide"", reflevel = ""custodial"") summary(fm_mlogit) }"
"AER-BenderlyZwick","AER","BenderlyZwick","Benderly and Zwick Data: Inflation, Growth and Stock Returns",31,5,0,0,0,0,5,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/BenderlyZwick.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/BenderlyZwick.html","BenderlyZwick R Documentation   Benderly and Zwick Data: Inflation, Growth and Stock Returns   Description  
Time series data, 1952–1982.   Usage   data(""BenderlyZwick"")   Format  
An annual multiple time series from 1952 to 1982 with 5 variables.    returns
real annual returns on stocks, measured using the Ibbotson-Sinquefeld data base.   growth
annual growth rate of output, measured by real GNP (from the given year to the next year).   inflation
inflation rate, measured as growth of price rate (from December of the previous year to December of the present year).   growth2
annual growth rate of real GNP as given by Baltagi.   inflation2
inflation rate as given by Baltagi     Source  
The first three columns of the data are from Table 1 in Benderly and Zwick (1985). The remaining columns are taken from the online complements of Baltagi (2002). The first column is identical in both sources, the other two variables differ in their numeric values and additionally the growth series seems to be lagged differently. Baltagi (2002) states Lott and Ray (1992) as the source for his version of the data set.    References  
Baltagi, B.H. (2002). Econometrics , 3rd ed. Berlin, Springer.  
Benderly, J., and Zwick, B. (1985). Inflation, Real Balances, Output and Real Stock Returns. American Economic Review , 75 , 1115–1123.   
Lott, W.F., and Ray, S.C. (1992). Applied Econometrics: Problems with Data Sets . New York: The Dryden Press.   
Zaman, A., Rousseeuw, P.J., and Orhan, M. (2001). Econometric Applications of High-Breakdown Robust Regression Techniques. Economics Letters , 71 , 1–8.    See Also  
Baltagi2002   Examples    data(""BenderlyZwick"") plot(BenderlyZwick) ## Benderly and Zwick (1985), p. 1116 library(""dynlm"") bz_ols <- dynlm(returns ~ growth + inflation, data = BenderlyZwick/100, start = 1956, end = 1981) summary(bz_ols) ## Zaman, Rousseeuw and Orhan (2001) ## use larger period, without scaling bz_ols2 <- dynlm(returns ~ growth + inflation, data = BenderlyZwick, start = 1954, end = 1981) summary(bz_ols2)"
"AER-BondYield","AER","BondYield","Bond Yield Data",60,2,0,0,0,0,2,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/BondYield.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/BondYield.html","BondYield R Documentation   Bond Yield Data   Description  
Monthly averages of the yield on a Moody's Aaa rated corporate bond (in percent/year).   Usage   data(""BondYield"")   Format  
A monthly univariate time series from 1990(1) to 1994(12).    Source  
Online complements to Greene (2003), Table F20.1.   
http://pages.stern.nyu.edu/~wgreene/Text/tables/tablelist5.htm     References  
Greene, W.H. (2003). Econometric Analysis , 5th edition. Upper Saddle River, NJ: Prentice Hall.    See Also  
Greene2003   Examples    data(""BondYield"") plot(BondYield)"
"AER-CartelStability","AER","CartelStability","CartelStability",328,5,2,0,3,0,2,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/CartelStability.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/CartelStability.html","CartelStability R Documentation   CartelStability   Description  
Weekly observations on prices and other factors from 1880–1886, for a total of 326 weeks.    Usage   data(""CartelStability"")   Format  
A data frame containing 328 observations on 5 variables.    price
weekly index of price of shipping a ton of grain by rail.   cartel
factor. Is a railroad cartel operative?   quantity
total tonnage of grain shipped in the week.   season
factor indicating season of year. To match the weekly data, the calendar has been divided into 13 periods, each approximately 4 weeks long.   ice
factor. Are the Great Lakes innavigable because of ice?     Source  
Online complements to Stock and Watson (2007).   References  
Porter, R. H. (1983). A Study of Cartel Stability: The Joint Executive Committee, 1880–1886. The Bell Journal of Economics , 14 , 301–314.   
Stock, J.H. and Watson, M.W. (2007). Introduction to Econometrics , 2nd ed. Boston: Addison Wesley.    See Also  
StockWatson2007   Examples    data(""CartelStability"") summary(CartelStability)"
"AER-CASchools","AER","CASchools","California Test Score Data",420,14,1,2,2,0,10,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/CASchools.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/CASchools.html","CASchools R Documentation   California Test Score Data   Description  
The dataset contains data on test performance, school characteristics and student demographic backgrounds for school districts in California.   Usage   data(""CASchools"")   Format  
A data frame containing 420 observations on 14 variables.    district
character. District code.   school
character. School name.   county
factor indicating county.   grades
factor indicating grade span of district.   students
Total enrollment.   teachers
Number of teachers.   calworks
Percent qualifying for CalWorks (income assistance).   lunch
Percent qualifying for reduced-price lunch.   computer
Number of computers.   expenditure
Expenditure per student.   income
District average income (in USD 1,000).   english
Percent of English learners.   read
Average reading score.   math
Average math score.     Details  
The data used here are from all 420 K-6 and K-8 districts in California with data available for 1998 and 1999. Test scores are on the Stanford 9 standardized test administered to 5th grade students. School characteristics (averaged across the district) include enrollment, number of teachers (measured as “full-time equivalents”, number of computers per classroom, and expenditures per student. Demographic variables for the students are averaged across the district. The demographic variables include the percentage of students in the public assistance program CalWorks (formerly AFDC), the percentage of students that qualify for a reduced price lunch, and the percentage of students that are English learners (that is, students for whom English is a second language).   Source  
Online complements to Stock and Watson (2007).   References  
Stock, J. H. and Watson, M. W. (2007). Introduction to Econometrics , 2nd ed. Boston: Addison Wesley.    See Also  
StockWatson2007 , MASchools   Examples    ## data and transformations data(""CASchools"") CASchools$stratio <- with(CASchools, students/teachers) CASchools$score <- with(CASchools, (math + read)/2) ## Stock and Watson (2007) ## p. 152 fm1 <- lm(score ~ stratio, data = CASchools) coeftest(fm1, vcov = sandwich) ## p. 159 fm2 <- lm(score ~ I(stratio < 20), data = CASchools) ## p. 199 fm3 <- lm(score ~ stratio + english, data = CASchools) ## p. 224 fm4 <- lm(score ~ stratio + expenditure + english, data = CASchools) ## Table 7.1, p. 242 (numbers refer to columns) fmc3 <- lm(score ~ stratio + english + lunch, data = CASchools) fmc4 <- lm(score ~ stratio + english + calworks, data = CASchools) fmc5 <- lm(score ~ stratio + english + lunch + calworks, data = CASchools) ## More examples can be found in: ## help(""StockWatson2007"")"
"AER-ChinaIncome","AER","ChinaIncome","Chinese Real National Income Data",37,5,0,0,0,0,5,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/ChinaIncome.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/ChinaIncome.html","ChinaIncome R Documentation   Chinese Real National Income Data   Description  
Time series of real national income in China per section (index with 1952 = 100).    Usage   data(""ChinaIncome"")   Format  
An annual multiple time series from 1952 to 1988 with 5 variables.    agriculture
Real national income in agriculture sector.   industry
Real national income in industry sector.   construction
Real national income in construction sector.   transport
Real national income in transport sector.   commerce
Real national income in commerce sector.     Source  
Online complements to Franses (1998).    References  
Chow, G.C. (1993). Capital Formation and Economic Growth in China.  Quarterly Journal of Economics , 103 , 809–842.   
Franses, P.H. (1998). Time Series Models for Business and Economic Forecasting . Cambridge, UK: Cambridge University Press.    See Also  
Franses1998   Examples    data(""ChinaIncome"") plot(ChinaIncome)"
"AER-CigarettesB","AER","CigarettesB","Cigarette Consumption Data",46,3,0,0,0,0,3,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/CigarettesB.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/CigarettesB.html","CigarettesB R Documentation   Cigarette Consumption Data   Description  
Cross-section data on cigarette consumption for 46 US States, for the year 1992.    Usage   data(""CigarettesB"")   Format  
A data frame containing 46 observations on 3 variables.   packs
Logarithm of cigarette consumption (in packs) per person of smoking age (> 16 years).   price
Logarithm of real price of cigarette in each state.   income
Logarithm of real disposable income (per capita) in each state.     Source  
The data are from Baltagi (2002).    References  
Baltagi, B.H. (2002). Econometrics , 3rd ed. Berlin, Springer.  
Baltagi, B.H. and Levin, D. (1992). Cigarette Taxation: Raising Revenues and Reducing Consumption. Structural Change and Economic Dynamics , 3 , 321–335.    See Also  
Baltagi2002 , CigarettesSW   Examples    data(""CigarettesB"") ## Baltagi (2002) ## Table 3.3 cig_lm <- lm(packs ~ price, data = CigarettesB) summary(cig_lm) ## Chapter 5: diagnostic tests (p. 111-115) cig_lm2 <- lm(packs ~ price + income, data = CigarettesB) summary(cig_lm2) ## Glejser tests (p. 112) ares <- abs(residuals(cig_lm2)) summary(lm(ares ~ income, data = CigarettesB)) summary(lm(ares ~ I(1/income), data = CigarettesB)) summary(lm(ares ~ I(1/sqrt(income)), data = CigarettesB)) summary(lm(ares ~ sqrt(income), data = CigarettesB)) ## Goldfeld-Quandt test (p. 112) gqtest(cig_lm2, order.by = ~ income, data = CigarettesB, fraction = 12, alternative = ""less"") ## NOTE: Baltagi computes the test statistic as mss1/mss2, ## i.e., tries to find decreasing variances. gqtest() always uses ## mss2/mss1 and has an ""alternative"" argument. ## Spearman rank correlation test (p. 113) cor.test(~ ares + income, data = CigarettesB, method = ""spearman"") ## Breusch-Pagan test (p. 113) bptest(cig_lm2, varformula = ~ income, data = CigarettesB, student = FALSE) ## White test (Table 5.1, p. 113) bptest(cig_lm2, ~ income * price + I(income^2) + I(price^2), data = CigarettesB) ## White HC standard errors (Table 5.2, p. 114) coeftest(cig_lm2, vcov = vcovHC(cig_lm2, type = ""HC1"")) ## Jarque-Bera test (Figure 5.2, p. 115) hist(residuals(cig_lm2), breaks = 16, ylim = c(0, 10), col = ""lightgray"") library(""tseries"") jarque.bera.test(residuals(cig_lm2)) ## Tables 8.1 and 8.2 influence.measures(cig_lm2) ## More examples can be found in: ## help(""Baltagi2002"")"
"AER-CigarettesSW","AER","CigarettesSW","Cigarette Consumption Panel Data",96,9,2,0,2,0,7,"https://vincentarelbundock.github.io/Rdatasets/csv/AER/CigarettesSW.csv","https://vincentarelbundock.github.io/Rdatasets/doc/AER/CigarettesSW.html","CigarettesSW R Documentation   Cigarette Consumption Panel Data   Description  
Panel data on cigarette consumption for the 48 continental US States from 1985–1995.    Usage   data(""CigarettesSW"")   Format  
A data frame containing 48 observations on 7 variables for 2 periods.   state
Factor indicating state.   year
Factor indicating year.   cpi
Consumer price index.   population
State population.   packs
Number of packs per capita.   income
State personal income (total, nominal).   tax
Average state, federal and average local excise taxes for fiscal year.   price
Average price during fiscal year, including sales tax.   taxs
Average excise taxes for fiscal year, including sales tax.     Source  
Online complements to Stock and Watson (2007).   References  
Stock, J.H. and Watson, M.W. (2007). Introduction to Econometrics , 2nd ed. Boston: Addison Wesley.    See Also  
StockWatson2007 , CigarettesB   Examples    ## Stock and Watson (2007) ## data and transformations data(""CigarettesSW"") CigarettesSW$rprice <- with(CigarettesSW, price/cpi) CigarettesSW$rincome <- with(CigarettesSW, income/population/cpi) CigarettesSW$rtax <- with(CigarettesSW, tax/cpi) CigarettesSW$rtdiff <- with(CigarettesSW, (taxs - tax)/cpi) c1985 <- subset(CigarettesSW, year == ""1985"") c1995 <- subset(CigarettesSW, year == ""1995"") ## convenience function: HC1 covariances hc1 <- function(x) vcovHC(x, type = ""HC1"") ## Equations 12.9--12.11 fm_s1 <- lm(log(rprice) ~ rtdiff, data = c1995) coeftest(fm_s1, vcov = hc1) fm_s2 <- lm(log(packs) ~ fitted(fm_s1), data = c1995) fm_ivreg <- ivreg(log(packs) ~ log(rprice) | rtdiff, data = c1995) coeftest(fm_ivreg, vcov = hc1) ## Equation 12.15 fm_ivreg2 <- ivreg(log(packs) ~ log(rprice) + log(rincome) | log(rincome) + rtdiff, data = c1995) coeftest(fm_ivreg2, vcov = hc1) ## Equation 12.16 fm_ivreg3 <- ivreg(log(packs) ~ log(rprice) + log(rincome) | log(rincome) + rtdiff + rtax, data = c1995) coeftest(fm_ivreg3, vcov = hc1) ## More examples can be found in: ## help(""StockWatson2007"")"
